Station ID,Station Name,First Year,Last Year,Year Range,Percent Complete,MSL Trends mm per yr,plus minus CI mm yr ,MSL Trend ft per century,95 CI ft century,Latitude,Longitude,City,State,ID,State,Location,Year Completed,Primary Funding Source,Justification,Length (ft),Volume (CY),Total Cost,Year Completed CPI,Adjusted Cost (2022),Total Cost/CY,Adjusted Cost/CY,CY/Foot,Current CPI,Other Info,Source Comment
1890000,"Wake Island, Pacific Ocean",1950-01-01,2023-01-01,74,94,2.07,0.39,0.68,0.13,19.2906,166.6175,Wake Island,Pacific Ocean,41,AL,Dauphin Island,2016-01-01,Federal,Ecosystem Restoration,5280,300000,6800000,240.0,8293166.67,22.67,27.64,56.82,292.7,,http://www.al.com/news/mobile/index.ssf/2016/03/rebuilding_a_beach_dauphin_isl.html#incart_river_home
2695535,"Biological Station, Bermuda",1932-01-01,2023-01-01,92,88,2.26,0.33,0.74,0.11,32.37,-64.695,Biological Station,Bermuda,44,CA,"East Beach, Santa Barbara",1933-01-01,Federal,Shore Protection,0,606000,0,13.0,0.0,0.0,0.0,606000.0,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
2695540,"St. Georges, Bermuda",1932-01-01,2019-01-01,88,88,2.17,0.36,0.71,0.12,32.3734,-64.7033,St. Georges,Bermuda,47,CA,"Cabrillo Beach, Los Angeles County",1927-01-01,Unknown,Unknown,1056,500000,100000,17.0,1721764.71,0.2,3.44,473.48,292.7,,
8410140,"Eastport, ME",1929-01-01,2023-01-01,95,97,2.28,0.16,0.75,0.05,44.9046,-66.9829,Eastport,ME,50,CA,"Doheney State Beach Park, Orange County",1930-01-01,Unknown,Unknown,0,0,0,17.0,0.0,0.0,0.0,1.0,292.7,,source: USACOE-LA 1987(Oceanside); Shaw 1980
8411250,"Cutler, ME",1979-01-01,2010-01-01,32,94,2.34,0.61,0.77,0.2,44.6417,-67.2967,Cutler,ME,53,CA,"Newport Beach, Orange County",1935-01-01,Unknown,Unknown,0,1895150,0,14.0,0.0,0.0,0.0,1895150.0,292.7,,
8413320,"Bar Harbor, ME",1947-01-01,2023-01-01,77,93,2.4,0.19,0.79,0.06,44.3922,-68.2043,Bar Harbor,ME,56,CA,"East Beach, Santa Barbara",1935-01-01,Federal,Shore Protection,2112,202000,26260,14.0,549021.57,0.13,2.72,95.64,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8418150,"Portland, ME",1912-01-01,2023-01-01,112,100,1.95,0.14,0.64,0.04,43.6581,-70.2442,Portland,ME,59,CA,"Newport Beach, Orange County",1935-01-01,Federal,Navigation,0,1900000,0,14.0,0.0,0.0,0.0,1900000.0,292.7,,
8419870,"Seavey Island, ME",1926-01-01,2023-01-01,98,76,2.17,0.18,0.71,0.06,43.0797,-70.7411,Seavey Island,ME,62,CA,"Newport Beach, Orange County",1935-01-01,Federal,Navigation,0,3700000,0,14.0,0.0,0.0,0.0,3700000.0,292.7,,
8423898,"Fort Point, NH",1926-01-01,2019-01-01,94,75,2.04,0.19,0.67,0.06,43.0714,-70.7106,Fort Point,NH,65,CA,"Newport Beach, Orange County",1935-01-01,Unknown,Unknown,0,1933333,0,14.0,0.0,0.0,0.0,1933333.0,292.7,,
8443970,"Boston, MA",1921-01-01,2023-01-01,103,100,2.94,0.15,0.96,0.05,42.3539,-71.0503,Boston,MA,68,CA,"Newport Beach, Orange County",1935-01-01,Unknown,Unknown,0,5706667,0,14.0,0.0,0.0,0.0,5706667.0,292.7,,
8447930,"Woods Hole, MA",1932-01-01,2023-01-01,92,96,3.07,0.17,1.01,0.06,41.5236,-70.6711,Woods Hole,MA,71,CA,"El Segundo, Los Angeles County",1936-01-01,Private,Shore Protection,9504,1800000,0,14.0,0.0,0.0,0.0,189.39,292.7,,
8449130,"Nantucket Island, MA",1965-01-01,2023-01-01,59,99,4.01,0.31,1.32,0.1,41.285,-70.0967,Nantucket Island,MA,74,CA,"Silver Strand State Beach, San Diego County",1936-01-01,Unknown,Shore Protection,0,14000000,1260000,14.0,26343000.0,0.09,1.88,14000000.0,292.7,,
8452660,"Newport, RI",1930-01-01,2023-01-01,94,99,2.92,0.15,0.96,0.05,41.5043,-71.3261,Newport,RI,77,CA,"Newport Beach, Orange County",1936-01-01,Unknown,Unknown,0,5593960,0,14.0,0.0,0.0,0.0,5593960.0,292.7,,
8454000,"Providence, RI",1938-01-01,2023-01-01,86,88,2.56,0.23,0.84,0.08,41.8072,-71.4007,Providence,RI,80,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1939-01-01,Unknown,Unknown,0,60122,0,14.0,0.0,0.0,0.0,60122.0,292.7,,
8461490,"New London, CT",1938-01-01,2023-01-01,86,98,2.87,0.21,0.94,0.07,41.3614,-72.09,New London,CT,83,CA,"East Beach, Santa Barbara",1938-01-01,Federal,Shore Protection,1056,584000,122787,14.0,2567125.35,0.21,4.4,553.03,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8467150,"Bridgeport, CT",1964-01-01,2023-01-01,60,98,3.33,0.38,1.09,0.12,41.1758,-73.184,Bridgeport,CT,86,CA,"Dockweiler Beach, Playa Del Rey, Los Angeles County",1938-01-01,Unknown,Shore Protection,0,1800000,0,14.0,0.0,0.0,0.0,1800000.0,292.7,,
8510560,"Montauk, NY",1947-01-01,2023-01-01,77,95,3.53,0.24,1.16,0.08,41.0483,-71.9594,Montauk,NY,89,CA,"Hueneme Beach Park, Port Hueneme, Ventura County",1939-01-01,Unknown,Unknown,0,2614000,0,14.0,0.0,0.0,0.0,2614000.0,292.7,,
8516945,"Kings Point, NY",1931-01-01,2023-01-01,93,100,2.67,0.19,0.88,0.06,40.8103,-73.7649,Kings Point,NY,92,CA,"Hueneme Beach Park, Port Hueneme, Ventura County",1940-01-01,Unknown,Unknown,0,1360000,295800,14.0,6184332.86,0.22,4.55,1360000.0,292.7,,
8518750,"The Battery, NY",1856-01-01,2023-01-01,168,91,2.92,0.09,0.96,0.03,40.7006,-74.0142,The Battery,NY,95,CA,"East Beach, Santa Barbara",1940-01-01,Federal,Shore Protection,2640,697700,0,14.0,0.0,0.0,0.0,264.28,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8519483,"Bergen Point, NY",1981-01-01,2023-01-01,43,96,4.61,0.64,1.51,0.21,40.6391,-74.1463,Bergen Point,NY,98,CA,"Silver Strand State Beach, San Diego County",1941-01-01,Unknown,Navigation,5280,2260000,0,15.0,0.0,0.0,0.0,428.03,292.7,,
8531680,"Sandy Hook, NJ",1932-01-01,2023-01-01,92,100,4.23,0.19,1.39,0.06,40.4669,-74.0094,Sandy Hook,NJ,101,CA,"North Island Oceanside Beach, San Diego County",1941-01-01,Unknown,Unknown,0,2248040,0,15.0,0.0,0.0,0.0,2248040.0,292.7,,
8534720,"Atlantic City, NJ",1911-01-01,2023-01-01,113,96,4.21,0.15,1.38,0.05,39.3567,-74.4181,Atlantic City,NJ,104,CA,"East Beach, Santa Barbara",1942-01-01,Federal,Shore Protection,5280,600110,131424,16.0,2404237.8,0.22,4.01,113.66,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8536110,"Cape May, NJ",1965-01-01,2023-01-01,59,93,4.99,0.44,1.64,0.14,38.9683,-74.96,Cape May,NJ,107,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1943-01-01,Unknown,Unknown,0,150000,88000,17.0,1515152.94,0.59,10.1,150000.0,292.7,,
8545240,"Philadelphia, PA",1900-01-01,2023-01-01,124,98,3.11,0.18,1.02,0.06,39.9331,-75.142,Philadelphia,PA,110,CA,"Morro Bay, San Luis Obispo",1943-01-01,Federal,Navigation,3696,1000000,155000,17.0,2668735.29,0.16,2.67,270.56,292.7,,
8551910,"Reedy Point, DE",1956-01-01,2023-01-01,68,77,3.89,0.43,1.28,0.14,39.5583,-75.5719,Reedy Point,DE,113,CA,"Long Beach, Los Angeles County",1943-01-01,Unknown,Navigation,21120,6000000,0,17.0,0.0,0.0,0.0,284.09,292.7,,
8557380,"Lewes, DE",1919-01-01,2023-01-01,105,78,3.71,0.23,1.22,0.07,38.7828,-75.1193,Lewes,DE,116,CA,"Oceanside City Beach, San Diego County",1944-01-01,Unknown,Unknown,0,1530667,0,18.0,0.0,0.0,0.0,1530667.0,292.7,,
8570283,"Ocean City, MD",1975-01-01,2023-01-01,49,74,5.15,0.69,1.69,0.23,38.3283,-75.0917,Ocean City,MD,119,CA,"East Beach, Santa Barbara",1945-01-01,Federal,Shore Protection,5280,717773,170112,18.0,2766210.13,0.24,3.85,135.94,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8571892,"Cambridge, MD",1943-01-01,2023-01-01,81,75,3.97,0.29,1.3,0.09,38.5725,-76.0617,Cambridge,MD,122,CA,"Venice Beach, Los Angeles County",1945-01-01,Unknown,Unknown,3168,140000,10500,18.0,170741.67,0.08,1.22,44.19,292.7,,
8573364,"Tolchester Beach, MD",1971-01-01,2023-01-01,53,61,4.1,0.84,1.35,0.28,39.2134,-76.2446,Tolchester Beach,MD,125,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1945-01-01,Unknown,Unknown,0,150000,0,18.0,0.0,0.0,0.0,150000.0,292.7,,
8573927,"Chesapeake City, MD",1972-01-01,2023-01-01,52,61,4.35,0.6,1.43,0.2,39.5267,-75.81,Chesapeake City,MD,128,CA,"Sunset Beach, Orange County",1945-01-01,Federal,Unknown,0,202000,0,18.0,0.0,0.0,0.0,202000.0,292.7,,
8574680,"Baltimore, MD",1902-01-01,2023-01-01,122,100,3.27,0.12,1.07,0.04,39.2667,-76.5783,Baltimore,MD,131,CA,"Surfside/Sunset Beach, Orange County",1945-01-01,Federal,Navigation,0,205333,0,18.0,0.0,0.0,0.0,205333.0,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8575512,"Annapolis, MD",1928-01-01,2023-01-01,96,99,3.8,0.19,1.25,0.06,38.9833,-76.4816,Annapolis,MD,134,CA,"Long Beach, Los Angeles County",1945-01-01,Federal,Navigation,0,800000,0,18.0,0.0,0.0,0.0,800000.0,292.7,,
8577330,"Solomons Island, MD",1937-01-01,2023-01-01,87,98,4.04,0.23,1.32,0.07,38.3172,-76.4508,Solomons Island,MD,137,CA,"Long Beach, Los Angeles County",1946-01-01,Unknown,Unknown,0,794656,0,20.0,0.0,0.0,0.0,794656.0,292.7,,
8594900,"Washington, DC",1924-01-01,2023-01-01,100,94,3.49,0.26,1.15,0.09,38.8733,-77.0217,Washington,DC,140,CA,"Morro Bay, San Luis Obispo",1946-01-01,Federal,Navigation,0,3071000,0,20.0,0.0,0.0,0.0,3071000.0,292.7,,
8631044,"Wachapreague, VA",1978-01-01,2023-01-01,46,94,5.63,0.59,1.85,0.19,37.6078,-75.6858,Wachapreague,VA,143,CA,"Coronado City Beach, San Diego County",1946-01-01,Unknown,Navigation,0,26009300,0,20.0,0.0,0.0,0.0,26009300.0,292.7,,http://www.fsbpa.com/13AnnualConfPresentations/HoustonandDeanLegacyBeaches.pdf
8632200,"Kiptopeke, VA",1951-01-01,2023-01-01,73,100,3.95,0.29,1.3,0.1,37.1652,-75.9884,Kiptopeke,VA,146,CA,"East Beach, Santa Barbara",1947-01-01,Federal,Shore Protection,5280,642977,109306,22.0,1454266.65,0.17,2.26,121.78,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8635027,"Dahlgren, VA",1972-01-01,2023-01-01,52,81,5.63,0.59,1.85,0.19,38.3198,-77.0366,Dahlgren,VA,149,CA,"Surfside/Sunset Beach, Orange County",1947-01-01,Federal,Navigation,0,1220738,0,22.0,0.0,0.0,0.0,1220738.0,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8635750,"Lewisetta, VA",1970-01-01,2023-01-01,54,97,5.87,0.54,1.93,0.18,37.9954,-76.4646,Lewisetta,VA,152,CA,"Venice Beach, Los Angeles County",1947-01-01,Federal,Shore Protection,0,13900000,0,22.0,0.0,0.0,0.0,13900000.0,292.7,,
8636580,"Windmill Point, VA",1982-01-01,2023-01-01,42,42,6.8,1.15,2.23,0.38,37.6155,-76.2898,Windmill Point,VA,155,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1947-01-01,Unknown,Shore Protection,0,14377000,0,22.3,0.0,0.0,0.0,14377000.0,292.7,,source: Flick 1993
8637689,"Yorktown, VA",1950-01-01,2023-01-01,74,97,4.81,0.31,1.58,0.1,37.2265,-76.4788,Yorktown,VA,158,CA,"Cabrillo Beach, Los Angeles County",1948-01-01,Unknown,Unknown,2112,2536500,1014600,24.0,12373892.5,0.4,4.88,1200.99,292.7,,
8638610,"Sewells Point, VA",1927-01-01,2023-01-01,97,100,4.79,0.21,1.57,0.07,36.9428,-76.3286,Sewells Point,VA,161,CA,"Dockweiler Beach, Playa Del Rey, Los Angeles County",1948-01-01,Unknown,Unknown,36960,13984900,0,24.0,0.0,0.0,0.0,378.38,292.7,,
8638863,"Chesapeake Bay Bridge Tunnel, VA",1975-01-01,2017-01-01,43,100,5.92,0.72,1.94,0.23,36.9667,-76.1133,Chesapeake Bay Bridge Tunnel,VA,164,CA,"Mission Beach, San Diego County",1948-01-01,Federal,Navigation,0,600000,0,24.0,0.0,0.0,0.0,600000.0,292.7,,
8638901,"Chesapeake Channel, VA",1975-01-01,2023-01-01,49,99,6.14,0.56,2.01,0.18,37.0329,-76.0833,Chesapeake Channel,VA,167,CA,"Pacific Beach, San Diego County",1948-01-01,Unknown,Unknown,0,613333,0,24.0,0.0,0.0,0.0,613333.0,292.7,,
8651370,"Duck, NC",1978-01-01,2023-01-01,46,100,4.88,0.56,1.6,0.18,36.1833,-75.7467,Duck,NC,170,CA,"Venice Beach, Los Angeles County",1948-01-01,Unknown,Unknown,0,1390648,0,24.0,0.0,0.0,0.0,1390648.0,292.7,,
8652587,"Oregon Inlet Marina, NC",1977-01-01,2023-01-01,47,66,5.56,0.96,1.82,0.31,35.7957,-75.5482,Oregon Inlet Marina,NC,173,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1948-01-01,Unknown,Shore Protection,0,14000000,0,24.0,0.0,0.0,0.0,14000000.0,292.7,,"sources: Johnson, 1950; Kenyon, 1950; USACOE 1986 (oral)"
8656483,"Beaufort, NC",1953-01-01,2023-01-01,71,89,3.55,0.34,1.16,0.11,34.7173,-76.6707,Beaufort,NC,176,CA,"East Beach, Santa Barbara",1949-01-01,Federal,Shore Protection,5280,638152,122525,24.0,1494294.48,0.19,2.34,120.86,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8658120,"Wilmington, NC",1935-01-01,2023-01-01,89,99,2.73,0.34,0.9,0.11,34.2275,-77.9536,Wilmington,NC,179,CA,"Morro Bay, San Luis Obispo",1949-01-01,Federal,Navigation,0,822000,0,24.0,0.0,0.0,0.0,822000.0,292.7,,
8661070,"Springmaid Pier, SC",1957-01-01,2023-01-01,67,86,3.29,0.48,1.08,0.16,33.6556,-78.9164,Springmaid Pier,SC,182,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1949-01-01,Unknown,Unknown,0,960000,0,24.0,0.0,0.0,0.0,960000.0,292.7,,
8665530,"Charleston, SC",1901-01-01,2023-01-01,123,86,3.48,0.19,1.14,0.06,32.7808,-79.9236,Charleston,SC,185,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1950-01-01,Unknown,Unknown,0,1000000,250000,24.0,3048958.33,0.25,3.05,1000000.0,292.7,,
8670870,"Fort Pulaski, GA",1935-01-01,2023-01-01,89,98,3.61,0.27,1.18,0.09,32.0347,-80.903,Fort Pulaski,GA,188,CA,"Ocean Beach, San Diego County",1950-01-01,Federal,Navigation,0,67000,0,24.0,0.0,0.0,0.0,67000.0,292.7,,
8720030,"Fernandina Beach, FL",1897-01-01,2023-01-01,127,88,2.28,0.17,0.75,0.06,30.6714,-81.4658,Fernandina Beach,FL,191,CA,"East Beach, Santa Barbara",1952-01-01,Federal,Shore Protection,0,2476098,0,27.0,0.0,0.0,0.0,2476098.0,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8720218,"Mayport, FL",1928-01-01,2023-01-01,96,100,2.89,0.25,0.95,0.08,30.3982,-81.4279,Mayport,FL,194,CA,"Carlsbad State Beach Park, San Diego County",1954-01-01,Unknown,Navigation,5280,4080000,2500000,27.0,27101851.85,0.61,6.64,772.73,292.7,,source: Shaw 1980; USACOE-LA 1987 (Oceanside) (Cliff Sediments)
8721604,"Port Canaveral, FL",1994-01-01,2023-01-01,30,100,6.62,1.44,2.17,0.47,28.4158,-80.5931,Port Canaveral,FL,197,CA,"Seal Beach, Orange County",1954-01-01,Federal,Unknown,0,800000,0,27.0,0.0,0.0,0.0,800000.0,292.7,,
8722670,"Lake Worth Pier, FL",1970-01-01,2023-01-01,54,50,4.16,0.53,1.37,0.17,26.6128,-80.0342,Lake Worth Pier,FL,200,CA,"Hueneme Beach Park, Port Hueneme, Ventura County",1954-01-01,Unknown,Shore Protection,0,2033000,0,27.0,0.0,0.0,0.0,2033000.0,292.7,,
8723214,"Virginia Key, FL",1931-01-01,2023-01-01,93,94,3.16,0.22,1.04,0.07,25.7314,-80.1618,Virginia Key,FL,203,CA,"Long Beach, Los Angeles County",1955-01-01,Unknown,Navigation,0,0,0,27.0,0.0,0.0,0.0,1.0,292.7,,
8723970,"Vaca Key, FL",1971-01-01,2023-01-01,53,94,4.21,0.42,1.38,0.14,24.711,-81.1065,Vaca Key,FL,206,CA,"Ocean Beach, San Diego County",1955-01-01,Unknown,Unknown,1700,275000,0,27.0,0.0,0.0,0.0,161.76,292.7,,
8724580,"Key West, FL",1913-01-01,2023-01-01,111,99,2.61,0.15,0.86,0.05,24.5557,-81.8079,Key West,FL,209,CA,"Carlsbad State Beach Park, San Diego County",1955-01-01,Unknown,Unknown,0,110000,0,27.0,0.0,0.0,0.0,110000.0,292.7,,
8725110,"Naples, FL",1965-01-01,2023-01-01,59,98,3.35,0.42,1.1,0.14,26.1317,-81.8075,Naples,FL,212,CA,"Seal Beach, Orange County",1955-01-01,Federal,Navigation,0,400000,0,27.0,0.0,0.0,0.0,400000.0,292.7,,
8725520,"Fort Myers, FL",1965-01-01,2023-01-01,59,98,3.57,0.42,1.17,0.14,26.6478,-81.8711,Fort Myers,FL,215,CA,"Dockweiler Beach, Playa Del Rey, Los Angeles County",1956-01-01,Unknown,Shore Protection,8600,2400000,0,27.0,0.0,0.0,0.0,279.07,292.7,,
8726384,"Port Manatee, FL",1976-01-01,2023-01-01,48,58,5.5,0.68,1.8,0.22,27.6387,-82.5621,Port Manatee,FL,218,CA,"Seal Beach, Orange County",1956-01-01,Federal,Navigation,0,200000,0,27.0,0.0,0.0,0.0,200000.0,292.7,,
8726520,"St. Petersburg, FL",1947-01-01,2023-01-01,77,100,3.09,0.23,1.01,0.08,27.7611,-82.6269,St. Petersburg,FL,221,CA,"Surfside/Sunset Beach, Orange County",1956-01-01,Federal,Navigation,0,873076,0,27.0,0.0,0.0,0.0,873076.0,292.7,,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf
8726674,"East Bay, FL",1976-01-01,2023-01-01,48,53,5.8,0.85,1.9,0.28,27.9231,-82.4214,East Bay,FL,224,CA,"Carlsbad State Beach Park, San Diego County",1957-01-01,Unknown,Unknown,0,232000,0,28.0,0.0,0.0,0.0,232000.0,292.7,,
8726724,"Clearwater Beach, FL",1973-01-01,2023-01-01,51,91,4.33,0.52,1.42,0.17,27.9783,-82.8317,Clearwater Beach,FL,227,CA,"Redondo Beach, Los Angeles County",1958-01-01,Unknown,Shore Protection,0,0,0,28.9,0.0,0.0,0.0,0.0,292.7,,source: USACOE-LA 1959 (So.Cal.)
8727520,"Cedar Key, FL",1914-01-01,2023-01-01,110,88,2.35,0.18,0.77,0.06,29.135,-83.0317,Cedar Key,FL,230,CA,"Mission Beach, San Diego County",1958-01-01,Federal,Navigation,0,150000,0,29.0,0.0,0.0,0.0,150000.0,292.7,,
8728690,"Apalachicola, FL",1967-01-01,2023-01-01,57,96,3.02,0.57,0.99,0.19,29.7244,-84.9806,Apalachicola,FL,233,CA,"Santa Monica State Beach, Santa Monica, Los Angeles County",1958-01-01,Unknown,Unknown,0,780000,0,29.0,0.0,0.0,0.0,780000.0,292.7,,
8729108,"Panama City, FL",1973-01-01,2023-01-01,51,98,3.1,0.55,1.02,0.18,30.1497,-85.6644,Panama City,FL,236,CA,"Oceanside City Beach, San Diego County",1958-01-01,Unknown,Navigation,0,799884,0,29.0,0.0,0.0,0.0,799884.0,292.7,,
8729210,"Panama City Beach, FL",1989-01-01,2023-01-01,35,83,5.1,0.84,1.67,0.28,30.2138,-85.8786,Panama City Beach,FL,239,CA,"Seal Beach, Orange County",1958-01-01,Unknown,Unknown,0,800000,0,29.0,0.0,0.0,0.0,800000.0,292.7,,
8729840,"Pensacola, FL",1923-01-01,2023-01-01,101,99,2.69,0.23,0.88,0.08,30.4044,-87.2112,Pensacola,FL,242,CA,Channel Islands Harbor,1959-01-01,Federal,Unknown,5016,0,6078000,29.0,61345882.76,6078000.0,61345882.76,0.0,292.7,,
8735180,"Dauphin Island, AL",1966-01-01,2023-01-01,58,87,4.41,0.55,1.45,0.18,30.25,-88.075,Dauphin Island,AL,245,CA,"Seal Beach, Orange County",1959-01-01,Federal,Shore Protection,0,225000,0,29.0,0.0,0.0,0.0,225000.0,292.7,,
8737048,"Mobile State Docks, AL",1980-01-01,2023-01-01,44,43,4.85,1.31,1.59,0.43,30.7046,-88.0396,Mobile State Docks,AL,248,CA,"Ocean Beach, San Diego County",1959-01-01,Federal,Unknown,0,275000,0,29.0,0.0,0.0,0.0,275000.0,292.7,,
8747437,"Bay Waveland, MS",1978-01-01,2023-01-01,46,92,4.7,0.68,1.54,0.22,30.3263,-89.3258,Bay Waveland,MS,251,CA,"Seal Beach, Orange County",1960-01-01,Unknown,Unknown,5280,250000,286000,30.0,2790406.67,1.14,11.16,47.35,292.7,,
8761724,"Grand Isle, LA",1947-01-01,2023-01-01,77,96,9.16,0.37,3.01,0.12,29.2633,-89.9567,Grand Isle,LA,254,CA,"Oceanside City Beach, San Diego County",1960-01-01,Unknown,Unknown,0,41824,0,30.0,0.0,0.0,0.0,41824.0,292.7,,
8761927,"New Canal, LA",1982-01-01,2023-01-01,42,67,6.16,1.02,2.02,0.33,30.0272,-90.1133,New Canal,LA,257,CA,"Carlsbad State Beach Park, San Diego County",1960-01-01,Unknown,Unknown,0,371000,0,30.0,0.0,0.0,0.0,371000.0,292.7,,
8770570,"Sabine Pass, TX",1958-01-01,2020-01-01,63,88,6.16,0.74,2.02,0.24,29.7284,-93.8701,Sabine Pass,TX,260,CA,"Hueneme Beach Park, Port Hueneme, Ventura County",1960-01-01,Unknown,Unknown,0,3700000,0,30.0,0.0,0.0,0.0,3700000.0,292.7,,
8770613,"Morgans Point, TX",1993-01-01,2023-01-01,31,97,3.98,1.35,1.3,0.44,29.6817,-94.985,Morgans Point,TX,263,CA,"Surfside/Sunset Beach, Orange County",1961-01-01,Unknown,Emergency,0,0,0,30.0,0.0,0.0,0.0,1.0,292.7,,source: Marx 1967; Shaw 1980
8770822,"Texas Point, TX",1958-01-01,2023-01-01,66,88,5.78,0.64,1.9,0.21,29.6893,-93.8418,Texas Point,TX,266,CA,Pacific Missile Range,1961-01-01,Unknown,Shore Protection,0,0,0,30.0,0.0,0.0,0.0,1.0,292.7,,
8771013,"Eagle Point, TX",1993-01-01,2023-01-01,31,99,12.93,1.43,4.24,0.47,29.4813,-94.9173,Eagle Point,TX,269,CA,"Hueneme Beach Park, Port Hueneme, Ventura County",1961-01-01,Unknown,Shore Protection,0,6234390,1250000,30.0,12195833.33,0.2,1.96,6234390.0,292.7,,
8771341,"Galveston Bay Entrance, TX",1957-01-01,2023-01-01,67,89,6.56,0.52,2.15,0.17,29.3575,-94.7247,Galveston Bay Entrance,TX,272,CA,"Carlsbad State Beach Park, San Diego County",1961-01-01,Unknown,Unknown,0,224804,0,30.0,0.0,0.0,0.0,224804.0,292.7,,
